preprocessed_text,label_sentiment
hah ini buku teks terbit mana di buku teks kurikulum merdeka terbit kemdikbudristek semua materi sudah punya perspektif tara gender kerja rumah laku dengan gotong royong di ilustrasi pun yang sapu amp kepel bukan cuma anak perempuan,0
untuk temanteman yang sulit paham kurikulum merdeka saya bantu lalu kronologi sulit besar karena sampai final sebut kurikulum merdeka menteri terbit banyak nama kurikulum kurikulum merdeka ganti kurikulum inspirasi dari,0
kurikulum merdeka adalah kurikulum tergajelas anak kelas sd suruh bikin prakarya dan jual terus hitung untung rugi permisi anak saya masih ndusel ke leher saya kalau mau tidur suruh cari laba hasil jual gantung kunci,0
ini hasil karya kurikulum merdeka rezim sekarang apa terus kita diam saja pasrah enggak ikut politik an,0
baca alas hapus jurus kurikulum merdeka ini saya tuju dulu nyaksiin sendiri teman maksa pindah ke swasta supaya dapat jurus ipa padahal dia enggak mau,0
gue saudara lakilaki korban ubah kurikulum merdeka,0
hasil kurikulum merdeka nadiemmakarim panjang osis banyak yang enggak tau kurikulum gagal dan menteri gagal,0
selamat atas luncur sastra masuk kurikulum baca sastra kini jadi bagi dari kurikulum merdeka banyak judul telah rasi oleh para kurator pilih mana yang masuk jenjang didik sd sampai hingga sma lengkap bisa kepo,0
adiemappunya tanyakanrl daripada misuh lebih arah kaget telah baca struktur kurikulum merdeka transisi jauh banget beda banget sampai anak sama bisa pilih mapel pilih tuh woow mana bates transisi cuma sampai moga kejar deh siap tenaga dan fasilitas ajar nya,0
un yang baik kualitas soal amp tuju asesmennya untuk meta bahkan dipretelin zonasi beranta bikin anakanak enggak sekolah amp kurikulum merdeka implementasi bikin sulit guru snbt uji mata ajar hilang dosa jokowi paling akbar itu nadiem,0
output didik kurikulum merdeka kemdikbud ri besut nadiemmakarim sih menteri didik gagal kurikulummerdeka,0
kurikulum merdeka kalau ada yang rumit kapai pilih yang gampang ngik,0
guyss kalian yang sama nya pakai kurikulum merdeka pusing juga enggak sih sama tugas,0
kurikulum merdeka itu letak merdeka mana ya,0
smenjak kurikulum merdeka saya jadi takut sekolah bejir rasa kayak enggak tenang gelisah dan waswas melulu kalo mau berangkat,0
gue sebel sama beban kelompok anjenkkkkkkk kurikulum merdeka kenapa kelompok melulu sih tugas syal,0
belakang sedikit ikut topik tentang kurikulum merdeka baru ingat dulu gue pas kuliah pernah tulis curhatan tentang kurikulum yang nyata mirip dengan konsep kurikulum merdeka sekarang untung ada wayback machine jadi bisa lihat lagi postingan lama gue repost lagi sini,0
mdy iya bagaimana iya beliau kan lebih expe di bisnis tapi taruh di bagi didik tuh kayak bagaimana begitu dari awal juga yang waktu sama pak anies saja yang kurtilas rasa beban padahal pak anies ahli apalagi ini kurikulum merdeka cerita tapi bahkan bikin pusing,0
makin kuat prasangka gue dan zonasi kurikulum merdeka enggak ada asesmen standar untuk mapel finladia wannabe pmm abai hadap kapasitas guru pegang itu semua adalah skema nadiem untuk busuk negeri,0
ini kurikulum merdeka orang tua asal percaya aja anak jadi rusak,0
hasil kerja kurikulum merdeka nadiem bagai mendikbud lulus sekolah indonesia tidak aku dan harus tempuh proses khusus untuk dapat lanjut di university of twente terima kasih pak jokowi,0
kurikulum didik nusantara anak kelas sd diniyah plus kurikulum merdeka baru masuk paksa tulis tentang definisi kode etik dalam tik di mata ajar tik apa urgensi begitu lho kirakira sih nadiemkarim paham enggak perkara etik tik ini,0
indonesia darurat keras seksual di sekolah kurikulum merdeka bisa apa,0
dulu mikir itu sudah yang buruk tapi masih ada kurikulum merdeka yang nyata lebih buruk,0
tahun masa perintah presiden joko widodo telah keluar bijak zonasi dan kurikulum merdeka dengan tuju tingkat kualitas didik namun jauh mana perintah telah beri dukung yang pada bagi sekolah guru dan siswa dalam implementasi bijak,0
zakkafm irwndfrry un hapus dan zonasi kenapa tetap tahan karena biaya un dan seleksi sekolah itu biaya besar masuk kurikulum merdeka jadi paksa kreatif dengan modal sendiri,0
kurikulum merdeka is fucking shit untung masih pakai,0
soundofyogi gue kira gue doang yang bingung sama korelasi apa garagara habis pusing beres lapor ini dampak kurikulum merdeka apa biasa komparasi dapat yang tidak apple tapi apple,0
penjara kan dia yang rusak generasi indonesia emas jadi indonesi cemas dengan tuju makin banyak yang bakal jadi driver aplikasi sudah begitu tarif driver buat murah mungkin dan biaya layan besar mungkin bangkai memang kurikulum merdeka bahkan bikin sengsara,0
negativisme hapus kan kurikulum merdeka kembali marwah guru yang injak sistem dan tidak bisa beri disipliner kepada siswa yang masalah mental,0
cara menjawa soal latih pecah kelas sd kurikulum merdeka,0
nenkmonica nadiemmakarim rill rasai banget susah kurikulum merdeka guru bingung plus banyak administrasi jadi enggak fokus ajar ke anak,0
kur merdeka saya rasa standar internasional but not the best for us jadi gimana pilih salah satu pondasi yang turut perintah baik kurang tambah jangan ubah ganti presiden kurikulum jangan ganti sistem didik baik tetap for long term jangan ikut periode presiden,0
kumpar setujuuuuuu pak kurikulum merdeka adalah kurikulum paling amburadul kurikulum paling bodoh yang pernah ada di republik indonesia,0
kurikulum merdeka bukan merdeka bahkan tambah derita hari minggu bukan buat hiling bahkan buat ngerjain tugas yang bikin pusing,0
gelap terang implementasi kurikulum merdeka,0
lho kalau begitu mimind sudah laksana kurikulum merdeka dari tahund dong yakin deh kanan dan kiri itu diajarkand cumand yang pendek djadi favorit karena kalian sendiri,0
saya lihat kurikulum merdeka itu kurang efektif anakanak jadi jarang tulis namun suka presentasi amp itu materi banyak lihat copas dari google benarbenar enggak ada beda kalimat dengan google telah itu presentasi pun bukan paham bahkan kayak angin lewat doang,0
mulai ada perspektif kurikulum merdeka itu karena ikut finland itu dari mana ya tau gue kenapa muncul kurikulum merdeka ini dasar butuh yang akan hadap siswa di abad,0
salah satu hasil dari kurikulum merdeka miris itu dulu anakanak sd juga sudah hafal dar seperti itu buka uud uud gbhn dll kalo bocah sekarang dari pancasila juga masih belepotan,0
tanyakanrl dokter lulus kurikulum merdeka entar begini ini banyak atau lebih parah wkwkwkwkwk,0
hmmapanamanya sheandwhite ridwanhr tapi dengan logika kayak begitu harusny lulus kurikulum merdeka sudah bisa hitung dasar karena itu dasar banget buat cari duit tapi nyata kan masih banyak yang keteter untuk prhitungan dasar doang bayang hitung dasar saja masih belum bisa bagaimana mau survive di dunia penuh ini,0
taka bibit rusa sudah mulai sejak benar saat peran guru dalam kbm reduksi jadi beri feedback instead of ajar parah sama sistem full day tahun yang bikin kbm makin enggak efektif kurikulum merdeka cuma lanjut busuk yang sudah ada cuma beda kemas aja,0
shintaeffendi elisa jkt itu judul kurikilum merdeka tuju bodoh lokal siswasiswi tidak standar nasional sd sampai sama,0
zanatul di mana saya bisa dapat naskah akademik atau informasi kait kurikulum merdeka ini pak atau ada bahan baca yang dapat tuntun saya dalam paham kurikulum merdeka ini terima kasih banyak,0
sumpah kurikulum sekolah sekarang memang kacau bgt soal kalau di banding jaman yang pakai ktsp sampai ke mix tuh jauh lebih mending daripada tiga adek adekku yang masih sd pakai kurikulum merdeka bahkan buku paket sama lks saja iya allah kayak bagaimana iya jelas beda bgt,0
kemendikbud bicara soal sekolah yang terap kurikulum merdeka lama tahun sebut alami tingkat kompetensi literasi bagaimana turut kamu detikers gtgt detikcom,0
nakmandiri selain itu kurikulum merdeka tidak beban murid dengan pr sehingga banyak anak sekarang banyak waktu luang yang guna untuk hal ini juga rupa peran penting orang tua dalam didik anak orang tua sekarang terlalu lelah cari cuan tahu sendiri sekarang saing kerja,0
tapi jadi penasaran juga yang salah di kurikulum merdeka itu bagaimana kok yang sebar di internet sekarang jadi gitu pengin ngecek apakah memang sekarang jadi bodoh itu atau benar makin banyak yang pintar tapi tutup sama konten,0
nenkmonica nadiemmakarim gara gara kurikulum merdeka tuh banyak yang nyepelein pasti bakal bilang paling lulus semua ckckckck,0
kurikulum merdeka baru tahun laku untuk seluruh sekolahbuat gue justru ini masalah karena pandemi kemarin,0
kumpar iya begitu kalau menteri didik dengan tahu amp alam ngakali dengan yang anehaneh yang mau untung sendiri iya jadi rusak didik kita kurikulum merdeka itu sama sistem mitra ojol iya pak alibi juga sama enggak paksa kata,0
mdy jelas gagal realitanya ini orang bikin bagi siswa jadi tambah malas sejak un di hapus bikin kurikulum merdeka yang ribet banyak giat tapi bukan bagai tolak ukur lulus atau tidak ya siswa pada mikir kapai giat ini itu toh juga tetap lulus,0
nenkmonica nadiemmakarim kurikulum merdeka namun apa yang merdeka para ajar makin sulit memanage waktu makin malas makin setress attitude tata krama turun salah gaul kembang gagal pol deh,0
nenkmonica nadiemmakarim bahkan total turut saya sih kurikulum merdeka yang tukertukeran mahasiswa beda prodi bahkan bikin pusing enggak linier ilmu kalau lihat kurikulum bingung mau sebut sarjana apa,0
cerna dua kalimat ini itu butuh logika matematika sederhana kalau ambil salah satu terus jengkel coba cek lagi nilai matematika smanya eh lupa kan kurikulum merdeka iya,0
salah satu klaim yang paling bikin sakit kepala adalah klaim bahwa kurikulum merdeka itu asal dari guru ingat kami sejak semua ubah itu format buat dulu oleh tim khusus baru kemudian bagai organ prof guru undang untuk validasi,0
tampak anak smk kelas hari ini adalah hasil waris lulus sd pandemi dengan privilage lulus plus kurikulum merdeka nadiemmakarim yang benarbenar merdeka alias kondisi bodoh sudah begini masih ikut buat pandemi lagi pak prabowo stopplandemit,0
kurikulum merdeka aneh,0
salah satu wujud kurikulum merdeka,0
sumpah kurikulum merdeka buat saya stres anjirttt tiap hari presentasi melulu,0
kurikulum merdeka maksud bagaimana ya aku sudah search gugel masih bingung jg terima kasih,0
akan tidak bosan timbul polemik dan kontroversi kali ini kemendikbudristek pimpin nadiem kembali buat heboh kemedikbud banyak rekomendasi karya sastra murah yang umbar adegan seksualitas dan persenggamaan bagai bahan baca cara resmi untuk guru dan,0
salah satu hasil kurikulum merdeka entah buta huruf entah buta entah,0
jakarta post maret dua tahun lalu saat itu nadiem makarim nyata bahwa kurikulum ini pilih yang tidak paksa kenyataanya sekolah yang tidak segera terap segera tinggal oleh semua program menteri kini prediksi bukti paradoks bebas semu,0
anak smk kelas hari ini adalah anakanak waris lulus sd pandemi dengan privilage lulus dengan kurikulum merdeka nadiemmakarim yang benarbenar merdeka dari ilmu dasar alias kondisi bodoh tapi coba tanya mereka apa yang viral di tiktok hari ini jago deh,0
nenkmonica nadiemmakarim kurikulum merdeka tuh kurikulum terngga jelas guru bingung murid bingung menteri cuma cuap cuap doang lagi,0
revonugroho tanyarlfes korban sistem didik memang kurikulum merdeka sudah dari kapan tahun lalu di video itu sama ada beberapa basic knowledge sampai tetap saja dia enggak tau jawab masih clear memang bloon saja malas enggak mau ajar apa karena sistem ini semua siswa jadi bego ada juga yang pintar,0
nadiemmakarim prabowo stopplandemit sumandogaek mamakchayank seekracle bukanantarkota dokter kampung pongrekundharma faraz kepri kurikulum merdeka itu baru banget mandatori sekolah pakai kurmer itu juga baru tahun belakang sedang anak smk sekarang kelas sudah sd sejak pola didik sudah bobrok jauh belum itu kurmer hanya finishing bobrok tsb,0
baca ini gue o r o anjir kamu guru paud kemang enggak mau napak lihat lingkung sekitar kalau kurikulum merdeka tuh jelek banget njinkk salah anak sama orang tua yang gasiap iya memang indonesia gasiap pakai kurikulum giniann,0
kurikulum merdeka anak jual dagang buang,0
pernah saya sampai saat panja kurikulum merdeka di komisi kali bahwa hilang materi sejarah minat wawas global sangat kontradiktif dengan gagas bahwa kurikulum merdeka arah pada saing global dasar untuk saing seperti tahu sejarah wawas,0
kalo kurikulum merdeka begitu baru pkl pas kls awal jadi satu semester itu full pkl makanya enggak ada kasih materi dari sekolah kalo aku tuh mau les juga susah bagi waktu,0
padahal gen saja itu generasi yang paling apes sambut krismon kurikulum ktsp dadak ganti lalu ganti lagi jadi kurikulum merdeka belum lagi awal sambut pandemi global imbas usaha pada bangkrut tapi disalahin mulu,0
contoh deskripsi rapor kurikulum merdeka semester sdsma catat wali kelas untuk orang tua lewat tribunnews deskripsi rapor kurikulummerdeka sekolah didik,0
debordsbitch testimoni saya bagai anak sama kurikulum merdeka coba ribet keluar duit banyak guru jadi malas ajar dengan kedok kurikulum merdeka fakta tugas banyak tapi materi enggak nyangkut di otak kejarkejaran antara akademik sama projek antarsekolah tuh bedabeda,0
jangan sampai bijak kampus merdeka yang lama ini laksana rupa jadi salah satu strategi perintah mandul gera mahasiswa orientasi semua mahasiswa jadi kerja magang dan jadi profesional di luar kampus jadi malas organ dan jadi aktor gera,0
ini enggak bisa cuma jadi tugas kemendikbud doang kurikulum merdeka itu shortterm solution ini the paling literal sense hanya laku lama tahun dan itu masih enggak efektif untuk selesai masalah labor force mismatch belum lagi mindset bijak salah anggap,0
beda dapat doa qunut dalam salat subuh kunci jawab pai kelas hal kurikulum merdeka,0
harry poeze amp hank schulte nordholt merdeka the struggle for indonesia independence and the republic si precarious rise amsterdam amsterdam university press unduh sejarahindonesia catatanindonesia catatannusantara,0
jiwa merdeka malaysia madani sempena bulan merdeka tahun ini mari kita beristiqamah jiwa merdeka merdeka dari sikap assabiyah merdeka dari rasuah merdeka dari kaum merdeka dari tabiat sifat yang buruk jiwa merdeka malaysia madani kpkt gov,0
yang begini bukan praktek mapel biasa tapi kayak ala kurikulum merdeka,0
bang mbak vindhtr ini pernah misu soal kurikulum merdeka soal anak dia kelas sd suruh bikin prakarya terus jual habis itu hitung labarugi turut kamu saja sudah having sex atau belum tanya tolol juga sih ini korelasi apa,0
ndrypd ortu yang ada mungkin enggak suka lihat hal yang muluk susah jadi simpul kurikulum merdeka di anak sd sesuai sama amat masih belum tepat karena orang tua bagai dukung juga masih kurang bahkan yang lihat lebih effo tuh guru tak waktu itu,0
jokowi playbook entah itu pertalite sampai ke kurikulum merdeka cara main begini melulu emang,0
the us and indonesia is scarily similar ini the bad pa sometimes indotwt has similar concerns with kurikulum merdeka i swear,0
kalau rakyat satu turun ke jalan kalau sekarang hanya preman bayar yang turun ke jalan,0
guyssss here we gooo angkat pertama kurikulum merdeka sudah proyek akhir saja,1
ini soal sas matematika kelas semester kurikulum merdeka,1
enggak tau kenapa sender rasa semenjak kurikulum merdeka banyak kerja kelompok kalian begitu juga ga,1
soal ulang ips kelas dan kunci jawab sumatif tahun kurikulum merdeka semester lewat tribunnews,1
soal ulang bahasa indonesia kelas semester amp kunci jawab kurikulum merdeka tahun lewat tribunnews,1
baru tahu sekarang sekolah enggak pakai kurikulum merdeka lg tapi kurikulum deep learning wkwk,1
beliau ini belum pernah dengar keluh siswa kurikulum merdeka kah,1
dalam kamus indonesia g kolff amp co bandung kata merdeka asal dari bahasa sansekerta yakni maharddhikeka lalu serap jadi merdeheka kata merdeka milik arti lepas dari hamba tiada ikat pada sesuatu,1
revonugroho tanyarlfes itu salah satu faktor saja sih tetap kunci iya dari ajar sendiri enggak semua orang juga garagara kurikulum merdeka jadi enggak bisa yang ada karena malas saja pada enggak mau ajar picu ya kurikulum merdeka ini,1
soal ulang agama kristen kelas dan kunci jawab tahun kurikulum merdeka semester lewat tribunnews,1
soal ulang agama kristen kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
fisika kelas semester dinamika partikel by gabriellstrn materi kelas fisika dinamika partikel semester kurikulum merdeka kurmer,1
gess ada yang tahu enggak paket mapel di kurikulum merdeka itu ada apa ajaa,1
contoh soal uas pkn kelas semester kurikulum merdeka lengkap dengan jawab,1
soal ulang antropologi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
akak ada kurikulum merdeka,1
ada yang punya catat materi seni tari kelas kurikulum merdeka enggak ya sender butuh banget soal t t,1
soal uaspas pai kelas semester kurikulum merdeka dan kuncijawabannya,1
kurikulum orang kurikulum merdeka,1
kurikulum merdeka yang gadang bisa tingkat perata kualitas didik implementasi jauh dari harap bagaimana ngga benchmarking nya sama sistem finlandia tapi fasilitas kualitas amp sejahtera guru saja jauh dah bagus jadi proposal saja ini kurikulum merdeka,1
kalau bahasa inggris nya kurikulum merdeka itu apa ya ada yang tau,1
telah enggak ada kurikulum merdeka mungkin kampus bakal senang mahasiswa enggak kabur lagi di semeester bangkitkantimrobot,1
ikut ini adalah beberapa contoh deskripsi rapor semester ganjil kurikulum merdeka jenjang sd sampai dan sma rapor kurikulum merdeka tidak hanya sekadar kumpul angka,1
informasi yang bisa realtime joki kimia kls kurikulum merdeka yang tidak pakai ai zonaba zonauang zonajajan,1
matematika lanjut kelas semester transformasi geometri guna matriks materi kelas matematika minat transformasi geometri semester kurikulum merdeka kurmer translasi,1
kalau kurikulum merdeka butuh laptop banget enggak siii,1
contoh soal ulang bahasa inggris kelas sd kurikulum merdeka dan kunci jawab uas sas lewat tribunnews arhan johny warisover afifah agaklaen banten tereliye rasulullah pramono eliano bahrain lanjutkanboikot welcomebackrenjun,1
ciriciri kalimat deklaratif dan contoh materi bahasa indonesia kurikulum merdeka lewat tribunnews arhan johny warisover afifah agaklaen banten tereliye miftah rasulullah pramono eliano bahrain lanjutkanboikot welcomebackrenjun,1
dengan kurikulum merdeka saat ini jika gaji guru akan ada tingkat signifikan kualitas didik didik itu bukan tentang kurikulum tapi tentang pimpin sekolah dan orangorang di sekolah,1
soal ulang sejarah kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
telah terbit matematika smpmts kurikulum merdeka bukuerlangga klubbuku,1
soal uji mtk kelas sd kurikulum merdeka semester tahun dan kunci jawab sumatif lewat tribunnews,1
soal uji pjok kelas sd kurikulum merdeka semester tahun dan kunci jawab sumatif lewat tribunnews,1
soal pas uas sas informatika kelas semester kurikulum merdeka lengkap dengan link download pdf,1
soal uas sejarah indonesia kelas semester dan kunci jawab baru kurikulum merdeka lewat tribunnews uji uas sejarah kuncijawaban kurikulummerdeka,1
sch sender kurmer kurikulum merdeka dominan soshum kirakira bisa enggak iya snbp linjur ke saintek geo ugm kata snbp sekarang enggak bisa linjur terima kasih yang sudah mau jawab,1
guyss ada yang punya materi geografi kelas kurikulum merdeka ga aku cari enggak nemu kalau ada yang nemu tolong kirim kalau out of topic bilang iya biar aku tadi,1
podcast saya dengan kompas kena implementasi kurikulum merdeka dan masalahmasalahnya di lapang,1
